Field	FieldLength	StartChar	EndChar
Record	2	1	2
GameID	10	3	12
MoveNum	3	13	15
Color	5	16	20
IsTheory	1	21	21
IsTablebase	1	22	22
Move	7	23	29
T1	7	30	36
T2	7	37	43
T3	7	44	50
T4	7	51	57
T5	7	58	64
T6	7	65	71
T7	7	72	78
T8	7	79	85
T9	7	86	92
T10	7	93	99
T11	7	100	106
T12	7	107	113
T13	7	114	120
T14	7	121	127
T15	7	128	134
T16	7	135	141
T17	7	142	148
T18	7	149	155
T19	7	156	162
T20	7	163	169
T21	7	170	176
T22	7	177	183
T23	7	184	190
T24	7	191	197
T25	7	198	204
T26	7	205	211
T27	7	212	218
T28	7	219	225
T29	7	226	232
T30	7	233	239
T31	7	240	246
T32	7	247	253
Move_Eval	6	254	259
T1_Eval	6	260	265
T2_Eval	6	266	271
T3_Eval	6	272	277
T4_Eval	6	278	283
T5_Eval	6	284	289
T6_Eval	6	290	295
T7_Eval	6	296	301
T8_Eval	6	302	307
T9_Eval	6	308	313
T10_Eval	6	314	319
T11_Eval	6	320	325
T12_Eval	6	326	331
T13_Eval	6	332	337
T14_Eval	6	338	343
T15_Eval	6	344	349
T16_Eval	6	350	355
T17_Eval	6	356	361
T18_Eval	6	362	367
T19_Eval	6	368	373
T20_Eval	6	374	379
T21_Eval	6	380	385
T22_Eval	6	386	391
T23_Eval	6	392	397
T24_Eval	6	398	403
T25_Eval	6	404	409
T26_Eval	6	410	415
T27_Eval	6	416	421
T28_Eval	6	422	427
T29_Eval	6	428	433
T30_Eval	6	434	439
T31_Eval	6	440	445
T32_Eval	6	446	451
CP_Loss	6	452	457
Engine	25	458	482
Depth	2	483	484
Time	8	485	492
FEN	92	493	585
